Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,turtlebot_bailout1,10,0.125,10,0.25,8,8
2,turtlebot_bailout1,25,0.125,10,0.25,8,8
3,turtlebot_bailout1,50,0.125,10,0.25,8,8
4,turtlebot_bailout1,100,0.125,10,0.25,8,8
5,turtlebot_bailout1,200,0.125,10,0.25,8,8
6,turtlebot_bailout1,300,0.125,10,0.25,8,8
7,turtlebot_bailout1,500,0.125,10,0.25,8,8
8,turtlebot_bailout1,1000,0.125,10,0.25,8,8
9,turtlebot_bailout1,10,0.05,10,0.1,8,8
10,turtlebot_bailout1,25,0.05,10,0.1,8,8
11,turtlebot_bailout1,50,0.05,10,0.1,8,8
12,turtlebot_bailout1,100,0.05,10,0.1,8,8
13,turtlebot_bailout1,200,0.05,10,0.1,8,8
14,turtlebot_bailout1,300,0.05,10,0.1,8,8
15,turtlebot_bailout1,500,0.05,10,0.1,8,8
16,turtlebot_bailout1,1000,0.05,10,0.1,8,8
17,turtlebot_bailout1,10,0.0125,10,0.025,8,8
18,turtlebot_bailout1,25,0.0125,10,0.025,8,8
19,turtlebot_bailout1,50,0.0125,10,0.025,8,8
20,turtlebot_bailout1,100,0.0125,10,0.025,8,8
21,turtlebot_bailout1,200,0.0125,10,0.025,8,8
22,turtlebot_bailout1,300,0.0125,10,0.025,8,8
23,turtlebot_bailout1,500,0.0125,10,0.025,8,8
24,turtlebot_bailout1,1000,0.0125,10,0.025,8,8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,id,EPS,subtree_focus_threshold,dispatch_threshold,,
,,1,10,0.125,0.25,8,0
,,2,25,0.125,0.25,8,0
,,3,50,0.125,0.25,8,0
,,4,100,0.125,0.25,8,0
,,5,200,0.125,0.25,8,0
,,6,300,0.125,0.25,8,0
,,7,500,0.125,0.25,8,0
,,8,1000,0.125,0.25,8,0
,,9,10,0.05,0.1,8,0
,,10,25,0.05,0.1,8,0
,,11,50,0.05,0.1,8,0
,,12,100,0.05,0.1,8,0
,,13,200,0.05,0.1,8,0
,,14,300,0.05,0.1,8,0
,,15,500,0.05,0.1,8,0
,,16,1000,0.05,0.1,8,0
,,17,10,0.0125,0.025,8,0
,,18,25,0.0125,0.025,8,0
,,19,50,0.0125,0.025,8,0
,,20,100,0.0125,0.025,8,0
,,21,200,0.0125,0.025,8,0
,,22,300,0.0125,0.025,8,0
,,23,500,0.0125,0.025,8,0
,,24,1000,0.0125,0.025,8,0
