Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,RCLL (3 robots),10,0.125,10,0.25,0,0
2,RCLL (3 robots),25,0.125,10,0.25,2,0
3,RCLL (3 robots),50,0.125,10,0.25,6,0
4,RCLL (3 robots),100,0.125,10,0.25,11,0
5,RCLL (3 robots),200,0.125,10,0.25,10,3
6,RCLL (3 robots),300,0.125,10,0.25,15,6
7,RCLL (3 robots),500,0.125,10,0.25,15,3
8,RCLL (3 robots),1000,0.125,10,0.25,19,13
9,RCLL (3 robots),10,0.05,10,0.1,0,0
10,RCLL (3 robots),25,0.05,10,0.1,2,0
11,RCLL (3 robots),50,0.05,10,0.1,6,0
12,RCLL (3 robots),100,0.05,10,0.1,13,0
13,RCLL (3 robots),200,0.05,10,0.1,16,3
14,RCLL (3 robots),300,0.05,10,0.1,18,6
15,RCLL (3 robots),500,0.05,10,0.1,17,3
16,RCLL (3 robots),1000,0.05,10,0.1,22,13
17,RCLL (3 robots),10,0.0125,10,0.025,1,0
18,RCLL (3 robots),25,0.0125,10,0.025,3,0
19,RCLL (3 robots),50,0.0125,10,0.025,8,0
20,RCLL (3 robots),100,0.0125,10,0.025,10,0
21,RCLL (3 robots),200,0.0125,10,0.025,18,3
22,RCLL (3 robots),300,0.0125,10,0.025,23,6
23,RCLL (3 robots),500,0.0125,10,0.025,14,3
24,RCLL (3 robots),1000,0.0125,10,0.025,25,13
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,batch,EPS,subtree_focus_threshold,,
,,,10612007,10,0.125,RCLL,100
,,,10612008,25,0.125,RCLL,100
,,,10612009,50,0.125,RCLL,100
,,,10612010,100,0.125,RCLL,100
,,,10612011,200,0.125,RCLL,100
,,,10612012,300,0.125,RCLL,100
,,,10612013,500,0.125,RCLL,100
,,,10612014,1000,0.125,RCLL,100
,,,10612015,10,0.05,RCLL,100
,,,10612016,25,0.05,RCLL,100
,,,10612017,50,0.05,RCLL,100
,,,10612018,100,0.05,RCLL,100
,,,10612019,200,0.05,RCLL,100
,,,10612020,300,0.05,RCLL,100
,,,10612021,500,0.05,RCLL,100
,,,10612022,1000,0.05,RCLL,100
,,,10612023,10,0.0125,RCLL,100
,,,10612024,25,0.0125,RCLL,100
,,,10612025,50,0.0125,RCLL,100
,,,10612027,100,0.0125,RCLL,100
,,,10612028,200,0.0125,RCLL,100
,,,10612029,300,0.0125,RCLL,100
,,,10612030,500,0.0125,RCLL,100
,,,10612031,1000,0.0125,RCLL,100
