Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,turtlebot_bailout2,10,1,10,0.25,6,6
2,turtlebot_bailout2,25,1,10,0.25,4,6
3,turtlebot_bailout2,50,1,10,0.25,4,6
4,turtlebot_bailout2,100,1,10,0.25,6,6
5,turtlebot_bailout2,200,1,10,0.25,6,6
6,turtlebot_bailout2,300,1,10,0.25,6,6
7,turtlebot_bailout2,500,1,10,0.25,6,6
8,turtlebot_bailout2,1000,1,10,0.25,6,6
9,turtlebot_bailout2,10,1,10,0.1,5,6
10,turtlebot_bailout2,25,1,10,0.1,4,6
11,turtlebot_bailout2,50,1,10,0.1,4,6
12,turtlebot_bailout2,100,1,10,0.1,5,6
13,turtlebot_bailout2,200,1,10,0.1,6,6
14,turtlebot_bailout2,300,1,10,0.1,6,6
15,turtlebot_bailout2,500,1,10,0.1,6,6
16,turtlebot_bailout2,1000,1,10,0.1,6,6
17,turtlebot_bailout2,10,1,10,0.025,5,6
18,turtlebot_bailout2,25,1,10,0.025,4,6
19,turtlebot_bailout2,50,1,10,0.025,4,6
20,turtlebot_bailout2,100,1,10,0.025,4,6
21,turtlebot_bailout2,200,1,10,0.025,6,6
22,turtlebot_bailout2,300,1,10,0.025,6,6
23,turtlebot_bailout2,500,1,10,0.025,6,6
24,turtlebot_bailout2,1000,1,10,0.025,6,6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,subtree_focus_threshold,,,
,,,,0.125,,,
,,,,0.125,,,
,,,,0.125,,,
,,,,0.125,,,
,,,,0.125,,,
,,,,0.125,,,
,,,,0.125,,,
,,,,0.125,,,
,,,,0.05,,6,6
,,,,0.05,,6,4
,,,,0.05,,6,4
,,,,0.05,,6,6
,,,,0.05,,6,6
,,,,0.05,,6,6
,,,,0.05,,6,6
,,,,0.05,,6,6
,,,,0.0125,,6,5
,,,,0.0125,,6,4
,,,,0.0125,,6,4
,,,,0.0125,,6,5
,,,,0.0125,,6,6
,,,,0.0125,,6,6
,,,,0.0125,,6,6
,,,,0.0125,,6,6
,,,,,,6,5
,,,,,,6,4
,,,,,,6,4
,,,,,,6,4
,,,,,,6,6
,,,,,,6,6
,,,,,,6,6
,,,,,,6,6
