Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,RCLL (2 robots),10,1,1,0.25,2,0
2,RCLL (2 robots),25,1,1,0.25,2,0
3,RCLL (2 robots),50,1,1,0.25,2,1
4,RCLL (2 robots),100,1,1,0.25,8,2
5,RCLL (2 robots),200,1,1,0.25,14,16
6,RCLL (2 robots),300,1,1,0.25,7,11
7,RCLL (2 robots),500,1,1,0.25,7,23
8,RCLL (2 robots),1000,1,1,0.25,9,45
9,RCLL (2 robots),10,1,1,0.1,2,0
10,RCLL (2 robots),25,1,1,0.1,2,0
11,RCLL (2 robots),50,1,1,0.1,2,1
12,RCLL (2 robots),100,1,1,0.1,10,2
13,RCLL (2 robots),200,1,1,0.1,10,16
14,RCLL (2 robots),300,1,1,0.1,11,11
15,RCLL (2 robots),500,1,1,0.1,10,23
16,RCLL (2 robots),1000,1,1,0.1,15,45
17,RCLL (2 robots),10,1,1,0.025,1,0
18,RCLL (2 robots),25,1,1,0.025,3,0
19,RCLL (2 robots),50,1,1,0.025,10,1
20,RCLL (2 robots),100,1,1,0.025,15,2
21,RCLL (2 robots),200,1,1,0.025,10,16
22,RCLL (2 robots),300,1,1,0.025,9,11
23,RCLL (2 robots),500,1,1,0.025,7,23
24,RCLL (2 robots),1000,1,1,0.025,15,45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,batch,EPS,subtree_focus_threshold,,
,,,10612057,10,1,100,0
,,,10612058,25,1,100,0
,,,10612059,50,1,100,0
,,,10612060,100,1,100,0
,,,10612061,200,1,100,2
,,,10612062,300,1,100,0
,,,10612063,500,1,100,2
,,,10612064,1000,1,100,6
,,,10612065,10,1,100,0
,,,10612066,25,1,100,0
,,,10612067,50,1,100,0
,,,10612068,100,1,100,0
,,,10612069,200,1,100,0
,,,10612070,300,1,100,1
,,,10612071,500,1,100,2
,,,10612072,1000,1,100,6
,,,10612073,10,1,100,0
,,,10612074,25,1,100,0
,,,10612075,50,1,100,0
,,,10612076,100,1,100,0
,,,10612077,200,1,100,1
,,,10612078,300,1,100,0
,,,10612079,500,1,100,2
,,,10612080,1000,1,100,5
