Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,RCLL (2 robots),10,0.125,10,0.25,2,0
2,RCLL (2 robots),25,0.125,10,0.25,8,0
3,RCLL (2 robots),50,0.125,10,0.25,16,1
4,RCLL (2 robots),100,0.125,10,0.25,28,2
5,RCLL (2 robots),200,0.125,10,0.25,22,16
6,RCLL (2 robots),300,0.125,10,0.25,32,11
7,RCLL (2 robots),500,0.125,10,0.25,33,23
8,RCLL (2 robots),1000,0.125,10,0.25,44,45
9,RCLL (2 robots),10,0.05,10,0.1,2,0
10,RCLL (2 robots),25,0.05,10,0.1,11,0
11,RCLL (2 robots),50,0.05,10,0.1,20,1
12,RCLL (2 robots),100,0.05,10,0.1,28,2
13,RCLL (2 robots),200,0.05,10,0.1,27,16
14,RCLL (2 robots),300,0.05,10,0.1,20,11
15,RCLL (2 robots),500,0.05,10,0.1,43,23
16,RCLL (2 robots),1000,0.05,10,0.1,48,45
17,RCLL (2 robots),10,0.0125,10,0.025,2,0
18,RCLL (2 robots),25,0.0125,10,0.025,12,0
19,RCLL (2 robots),50,0.0125,10,0.025,19,1
20,RCLL (2 robots),100,0.0125,10,0.025,22,2
21,RCLL (2 robots),200,0.0125,10,0.025,21,16
22,RCLL (2 robots),300,0.0125,10,0.025,37,11
23,RCLL (2 robots),500,0.0125,10,0.025,40,23
24,RCLL (2 robots),1000,0.0125,10,0.025,52,45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,batch,EPS,subtree_focus_threshold,Total number of problems,Number of problems solved by both disp and nodisp
,,,10611983,10,0.125,100,0
,,,10611984,25,0.125,100,0
,,,10611985,50,0.125,100,1
,,,10611986,100,0.125,100,2
,,,10611987,200,0.125,100,3
,,,10611988,300,0.125,100,6
,,,10611989,500,0.125,100,10
,,,10611990,1000,0.125,100,20
,,,10611991,10,0.05,100,0
,,,10611992,25,0.05,100,0
,,,10611993,50,0.05,100,1
,,,10611994,100,0.05,100,2
,,,10611995,200,0.05,100,4
,,,10611996,300,0.05,100,3
,,,10611997,500,0.05,100,13
,,,10611998,1000,0.05,100,26
,,,10611999,10,0.0125,100,0
,,,10612000,25,0.0125,100,0
,,,10612001,50,0.0125,100,1
,,,10612002,100,0.0125,100,0
,,,10612003,200,0.0125,100,4
,,,10612004,300,0.0125,100,4
,,,10612005,500,0.0125,100,9
,,,10612006,1000,0.0125,100,23
