Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,RCLL (3 robots),10,1,1,0.25,0,0
2,RCLL (3 robots),25,1,1,0.25,1,0
3,RCLL (3 robots),50,1,1,0.25,0,0
4,RCLL (3 robots),100,1,1,0.25,2,0
5,RCLL (3 robots),200,1,1,0.25,3,3
6,RCLL (3 robots),300,1,1,0.25,1,6
7,RCLL (3 robots),500,1,1,0.25,5,3
8,RCLL (3 robots),1000,1,1,0.25,0,13
9,RCLL (3 robots),10,1,1,0.1,0,0
10,RCLL (3 robots),25,1,1,0.1,1,0
11,RCLL (3 robots),50,1,1,0.1,1,0
12,RCLL (3 robots),100,1,1,0.1,3,0
13,RCLL (3 robots),200,1,1,0.1,3,3
14,RCLL (3 robots),300,1,1,0.1,3,6
15,RCLL (3 robots),500,1,1,0.1,3,3
16,RCLL (3 robots),1000,1,1,0.1,1,13
17,RCLL (3 robots),10,1,1,0.025,0,0
18,RCLL (3 robots),25,1,1,0.025,2,0
19,RCLL (3 robots),50,1,1,0.025,2,0
20,RCLL (3 robots),100,1,1,0.025,4,0
21,RCLL (3 robots),200,1,1,0.025,3,3
22,RCLL (3 robots),300,1,1,0.025,3,6
23,RCLL (3 robots),500,1,1,0.025,1,3
24,RCLL (3 robots),1000,1,1,0.025,2,13
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,batch,EPS,subtree_focus_threshold,,
,,,10612033,10,1,100,0
,,,10612034,25,1,100,0
,,,10612035,50,1,100,0
,,,10612036,100,1,100,0
,,,10612037,200,1,100,0
,,,10612038,300,1,100,0
,,,10612039,500,1,100,0
,,,10612040,1000,1,100,0
,,,10612041,10,1,100,0
,,,10612042,25,1,100,0
,,,10612043,50,1,100,0
,,,10612044,100,1,100,0
,,,10612045,200,1,100,0
,,,10612046,300,1,100,0
,,,10612047,500,1,100,1
,,,10612048,1000,1,100,0
,,,10612049,10,1,100,0
,,,10612050,25,1,100,0
,,,10612051,50,1,100,0
,,,10612052,100,1,100,0
,,,10612053,200,1,100,0
,,,10612054,300,1,100,0
,,,10612055,500,1,100,0
,,,10612056,1000,1,100,0
